experiment_name,experiment_label,model_name,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_degradation_fraction
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,6,0.5,0.6000000000000001,118,0.5486629638318702,0.3813559322033898
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,7,0.6000000000000001,0.7000000000000001,101,0.6520620346581832,0.3564356435643564
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,8,0.7000000000000001,0.8,145,0.7534404633417147,0.4206896551724138
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,9,0.8,0.9,229,0.8541540564980133,0.42358078602620086
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,10,0.9,1.0,5284,0.9942864250963267,0.7961771385314156
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,1,0.0,0.1,3320,0.01698896658410162,0.02530120481927711
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,2,0.1,0.2,823,0.13761754973177534,0.16038882138517618
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,3,0.2,0.30000000000000004,436,0.25395351104785807,0.27293577981651373
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,4,0.30000000000000004,0.4,251,0.33788926853255935,0.3426294820717131
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,5,0.4,0.5,306,0.42727495783613056,0.37254901960784315
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,6,0.5,0.6000000000000001,279,0.559655909704055,0.4946236559139785
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,7,0.6000000000000001,0.7000000000000001,129,0.6591367173387653,0.627906976744186
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,8,0.7000000000000001,0.8,351,0.7411622434863918,0.7293447293447294
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,9,0.8,0.9,219,0.8422498544274574,0.8310502283105022
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_gini,10,0.9,1.0,3886,0.9891124404715018,0.985331960885229
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,1,0.0,0.1,3229,0.014339049412852599,0.02322700526478786
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,2,0.1,0.2,1000,0.1458104196339201,0.162
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,3,0.2,0.30000000000000004,286,0.24182116179903385,0.2867132867132867
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,4,0.30000000000000004,0.4,326,0.3675809055000141,0.3619631901840491
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,5,0.4,0.5,398,0.43266144507714843,0.3969849246231156
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,6,0.5,0.6000000000000001,355,0.5578605274947745,0.49859154929577465
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,7,0.6000000000000001,0.7000000000000001,0,,
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,8,0.7000000000000001,0.8,274,0.7460454629729859,0.7700729927007299
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,9,0.8,0.9,324,0.8448120048759789,0.8425925925925926
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",decision_tree_entropy,10,0.9,1.0,3808,0.9932616384690673,0.9887079831932774
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,1,0.0,0.1,3167,0.02136730646361914,0.029365329965266813
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,2,0.1,0.2,639,0.14608759794344303,0.10641627543035993
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,3,0.2,0.30000000000000004,435,0.24917706520973731,0.2
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,4,0.30000000000000004,0.4,385,0.3485207115425832,0.32987012987012987
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,5,0.4,0.5,340,0.45198277070347453,0.42058823529411765
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,6,0.5,0.6000000000000001,342,0.5467823367706829,0.5321637426900585
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,7,0.6000000000000001,0.7000000000000001,380,0.6506876993867021,0.6263157894736842
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,8,0.7000000000000001,0.8,440,0.7522650999025419,0.7704545454545455
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,9,0.8,0.9,655,0.8535346399944095,0.8824427480916031
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",logistic_regression,10,0.9,1.0,3217,0.9785681667274662,0.9841467205470935
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,1,0.0,0.1,2003,0.04740411960402465,0.011482775836245632
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,2,0.1,0.2,1217,0.14522285130035995,0.07641741988496302
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,3,0.2,0.30000000000000004,807,0.2482087798808402,0.15613382899628253
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,4,0.30000000000000004,0.4,651,0.34594499786693284,0.27035330261136714
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,5,0.4,0.5,480,0.4478705970233516,0.4
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,6,0.5,0.6000000000000001,437,0.549350919507344,0.5377574370709383
