edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,measurement_id,session_id,source_column,source_value,context_family,source_measurement_id,target_measurement_id,source_service_degraded,target_service_degraded,row_count,support_fraction,degraded_count,degradation_rate,baseline_degradation_rate,degradation_lift,source_context_family,target_context_family,source_dataset,metric,non_missing_count,non_missing_fraction,comparison_status,recommended_use,claim_scope,reference_dataset,comparison_context,median_difference,wasserstein_distance,ks_statistic,comparison_scope,source_label,target_label
edge_9ed3fa819517e8ea64,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurrence:context_value:tower_load_moderate:ff95aa01d274,context_cooccurs,context_cooccurrence,False,5303.0,,,,,,,,,,5303.0,0.10606,1937.0,0.3652649443711107,0.50716,0.720216390036893,network_type,tower_load,,,,,,,,,,,,,,network_type=5G SA,tower_load=Moderate
edge_65d3ab058999bdc1a5,context_cooccurrence:context_value:time_bin_night:908d2968c559,context_cooccurrence:context_value:tower_load_light:a96b7363a32b,context_cooccurs,context_cooccurrence,False,6384.0,,,,,,,,,,6384.0,0.12768,2317.0,0.362938596491228,0.50716,0.7156293802571734,time_bin,tower_load,,,,,,,,,,,,,,time_bin=night,tower_load=Light
edge_bcea74a0c0a7cd9511,context_cooccurrence:context_value:radio_band_n28:af4fa2f617a9,context_cooccurrence:context_value:tower_load_heavy:a49aed9efbc6,context_cooccurs,context_cooccurrence,False,1471.0,,,,,,,,,,1471.0,0.02942,533.0,0.3623385452073419,0.50716,0.7144462205365997,radio_band,tower_load,,,,,,,,,,,,,,radio_band=n28,tower_load=Heavy
edge_e0b00ad9f4f0a9dd50,context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_cooccurrence:context_value:weather_rainy:2c23bce4260d,context_cooccurs,context_cooccurrence,False,1800.0,,,,,,,,,,1800.0,0.036,648.0,0.36,0.50716,0.7098351605016168,congestion,weather,,,,,,,,,,,,,,congestion=Low,weather=Rainy
edge_8f1edc2ab5657df8db,context_cooccurrence:context_value:infrastructure_severely_degraded:b1e30b31d54a,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurs,context_cooccurrence,False,100.0,,,,,,,,,,100.0,0.002,36.0,0.36,0.50716,0.7098351605016168,infrastructure,radio_band,,,,,,,,,,,,,,infrastructure=Severely_Degraded,radio_band=n41
edge_d0746f9b7686f8f70c,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:weather_clear:8bab34b7cb82,context_cooccurs,context_cooccurrence,False,8720.0,,,,,,,,,,8720.0,0.1744,3111.0,0.3567660550458715,0.50716,0.7034585831805968,application,weather,,,,,,,,,,,,,,application=Call,weather=Clear
edge_2e540f50acc97218ab,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:radio_band_n79:b85c8ced654f,context_cooccurs,context_cooccurrence,False,146.0,,,,,,,,,,146.0,0.00292,52.0,0.3561643835616438,0.50716,0.7022722288067745,application,radio_band,,,,,,,,,,,,,,application=Call,radio_band=n79
edge_88a2fa6d67b5b33761,context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_cooccurrence:context_value:radio_band_n79:b85c8ced654f,context_cooccurs,context_cooccurrence,False,121.0,,,,,,,,,,121.0,0.00242,43.0,0.3553719008264462,0.50716,0.7007096396136253,congestion,radio_band,,,,,,,,,,,,,,congestion=Low,radio_band=n79
edge_62b851c4dac1aa1244,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:infrastructure_moderately_degraded:76839948dcb8,context_cooccurs,context_cooccurrence,False,2406.0,,,,,,,,,,2406.0,0.04812,846.0,0.3516209476309227,0.50716,0.6933136438814628,application,infrastructure,,,,,,,,,,,,,,application=Call,infrastructure=Moderately_Degraded
edge_e08f873454ce08e486,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurrence:context_value:weather_clear:8bab34b7cb82,context_cooccurs,context_cooccurrence,False,12520.0,,,,,,,,,,12520.0,0.2504,4376.0,0.3495207667731629,0.50716,0.6891725821696564,network_type,weather,,,,,,,,,,,,,,network_type=5G SA,weather=Clear
